comment,target
"Is there any way we can purchase the distance/gesture sensor by itself, or even in a pack of 2+? I really have no use for the LED matrix, thus why I did not upgrade to that bundle. It would have just been a waste of money for me, but I would love to get a few of the sensor boards.",2
"Any chance of programming this with the Arduino IDE  (?) I know that Adafruit has a board core for the Micro:BIT which works quite well - thou a it is a little picky to setup the first time. really like the hardware you have produced, but I don't like the programming environment at all.  I'm not sure how hard it would be to port/chance what Adafruit has done, but it might be worth a look for some of us advance users or for people who don't like the programming environment.",2
What is the difficulty with setting up your robot for someone with no experience at all? Could you briefly elaborate on the setup. Also does the app work with android users? Thank you!,2
Will there be different languages for the software ? I would give this as a present to a child but that could be a problem when it comes to English :),2
Also would love some more info on the distance/gesture board and what can be done with it.,1
"Is there any more information on the distance/gesture board? I'm interested, but I'm not entirely sold since the jump from the Super Early Bird pledge to the Early Bird Genius Kit pledge is å£28.",1
Well my three daughters should have a ball with that they loved their å£5 robots,1
"Awesome work, Ross and team! Looking forward to seeing Smartibot in action.",1
What are the minimal requirements for the app?Rather than putting my iPhone X on a moving thing (which is a scary idea)I want to know if I can use my old 5s (which doesn't have AI chips) for this.Thx,0
This is great!  Perfect Christmas present.  I added å£ 25 to my pledge for the Precious kit to get the LED/sensor board per your earlier response to a comment...is that ok?,1
This looks fantastic! I can‰Ûªt wait to start 3D printing bodies for it!,1
This project rocks! Can‰Ûªt wait to play _ÙÕ__ÙÕ__ÙÕ_,1
"Besides, the description of each team members are interesting. *thumbs up*",1
Can you elaborate about the Precious Kit? Why there is no exclusive cloth patch for the Precious Kit?,2
"Also backed before I even watched the video, keep up the brilliant work you good, good people!",1
Backed without blinking. Genius kit because of the display and all. No (super) early bird surprises there either? In it for the bots so happy regardless. :),1
Wow. This sounds like an awesome base for my STEM class at school. ,1
"I've made a pledge of $1, for which I'd like to see Titan's real performance underwater after the crowd-funding based on feedback. I do have confidence in Titan, and believe it would be perfect for underwater exploreres and photographers!",1
"How will the titan be charged?  Do the drone and wifi transmitter use the same charger? I'm in Australia and we use 230-240AC ,will I have to buy an adapter or have you already thought of this?Thanks to titan's team.",2
Water scooter!That's cool.I hope to see it soon.,1
"Actually, I've used a ROV for fishing,But I have to say that it is more difficult to control than DJI's drones.I've been watching your videos,It looks like Titan is doing well underwater.I hope I can control it easily.",1
Just wondering if you could give us an update on the current timeline for distribution of the Titan please. On the 7th June under these comments you said that all Kickstarter Titans would be sent out in August.Under the project timeline in Kickstarter it says that they‰Ûªll be sent out in October.An update on your current progress for distribution would be appreciated.Thankyou,2
"I am a diver, and I believe titan will be a surprise product.I want to know if it can drag underwater divers to stealth underwater.",1
"After careful consideration and comparison, I chose titan.I hope it will help me search for nearby lakes.",1
"with the accessory extension port, will I be able to use the pins to create my own accessories or do have to only use pre-made ones when they become available?",2
"After carefully considering a number of options, I've finally decided to be a backer for the Titan and look forward to watching the project come to life. (I'm very excited!!!!) I do have a few questions please:-(1) What is the maximum size tablet that will fit the remote controller?(2) I have requested the optional 150 meter tether. Will it come with a reel like the Poseidon has to assist winding the cable on?(3) Will the Titan use the ""geneROV"" app that is used for the Poseidon or will the Titan have its own app?(4) One of the competitors is boasting that they have the best stabilised underwater drone.With the Titans 6 propellers I would hope that it also has excellent stabilising characteristics. Just interested in any comments you have about achieving stabilisation with the Titan.ThankyouPeter",1
